method,ipc,model,regret_mean,regret_std
k-means,10,xgb,0.19737377908535408,1.205051377074622
k-means,10,rf,0.9967466850745718,0.28744935750716333
k-means,10,svc,11.23312352149948,25.855861809046786
k-means,10,logreg,-1.1985382662806794,3.3728044313616317
k-means,10,mlp,258.91129384790855,515.140165029474
random,10,xgb,1.0,0.0
random,10,rf,1.0,0.0
random,10,svc,1.0,0.0
random,10,logreg,1.0,0.0
random,10,mlp,1.0,0.0
original,10,xgb,0.0,0.0
original,10,rf,0.0,0.0
original,10,svc,0.0,0.0
original,10,logreg,0.0,0.0
original,10,mlp,0.0,0.0
ag,10,xgb,0.22241998974717364,0.8545157279413491
ag,10,rf,0.8999927768221703,0.4020777227809911
ag,10,svc,8.74648437074118,19.09814166035428
ag,10,logreg,0.4240780001566174,0.8791476007234188
ag,10,mlp,228.04056007793275,453.3123597673118
k_center,10,xgb,0.4864695948195644,2.5444241004726695
k_center,10,rf,2.914284524836705,1.8206320559606506
k_center,10,svc,22.096759407527163,43.820380898356625
k_center,10,logreg,3.1465922867296867,11.73921548188412
k_center,10,mlp,389.3743531543841,757.737997850251
lc,10,xgb,-2.168926194395355,10.707777133386669
lc,10,rf,5.476094794197023,2.451532156184388
lc,10,svc,37.037981110272916,76.54249696590048
lc,10,logreg,5.342476559242994,21.820160482182274
lc,10,mlp,1050.0474414626806,2064.5638528781838
craig,10,xgb,-0.6556261273508349,5.220143301897211
craig,10,rf,3.1428339351375367,1.638159089867208
craig,10,svc,26.639388334883286,51.743017876985085
craig,10,logreg,2.701154976641251,11.39370173728713
craig,10,mlp,335.4577622705692,652.8205560765604
k-means,20,xgb,-0.04340817285039748,2.2341103268079276
k-means,20,rf,1.1830106220447647,0.2508123349363465
k-means,20,svc,1.5906182870025856,8.657491540692087
k-means,20,logreg,0.5388375007183795,0.3742852586310709
k-means,20,mlp,-0.7341786894770399,4.480638091878993
random,20,xgb,1.0,0.0
random,20,rf,1.0,0.0
random,20,svc,1.0,0.0
random,20,logreg,1.0,0.0
random,20,mlp,1.0,0.0
original,20,xgb,0.0,0.0
original,20,rf,0.0,0.0
original,20,svc,0.0,0.0
original,20,logreg,0.0,0.0
original,20,mlp,0.0,0.0
ag,20,xgb,-0.11916087304662751,2.315903020822238
ag,20,rf,1.0313558250895047,0.23907687490574298
ag,20,svc,1.6584706370160238,10.334602397019538
ag,20,logreg,0.478018101788978,0.5098227795092605
ag,20,mlp,0.027371663400435665,3.5851177533506786
k_center,20,xgb,-3.175508730491753,1.4238974937111293
k_center,20,rf,1.4131851306029088,0.9441071996871968
k_center,20,svc,4.155421121997725,35.16599729021419
k_center,20,logreg,-3.1960032242059095,1.163871674552706
k_center,20,mlp,-1.6768615485660932,18.299368618977866
lc,20,xgb,-1.1818257237580745,20.509516735167544
lc,20,rf,6.537435530278543,1.717625552086879
lc,20,svc,11.789876244876766,57.9565523135968
lc,20,logreg,-6.346967230051197,1.7858760063078343
lc,20,mlp,-2.41931199019644,34.821209187104685
craig,20,xgb,-0.33811870360401614,7.3508221609076365
craig,20,rf,3.062995667768532,1.2599565930707841
craig,20,svc,-2.7055951455958756,26.210109012399325
craig,20,logreg,-2.665611917479292,2.0068161627537817
craig,20,mlp,-3.9842250292008976,24.107989147386164
