model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.9,0.899,0.903,0.91,0.122,0.124,0.12,0.111,11.091,0.026,0.827,0.737,0.838,0.819,0.863,1.3e-05,original,11.0,5,,,,
rf,random,0.8,0.792,0.796,0.81,0.1,0.104,0.104,0.097,14.238,0.24,0.738,0.641,0.764,0.73,0.806,1.7e-05,original,11.0,5,,,,
svc,random,0.817,0.8,0.8,0.81,0.097,0.103,0.103,0.097,6.37,0.002,0.743,0.695,0.823,0.807,0.841,4e-06,original,11.0,5,,,,
logreg,random,0.783,0.76,0.76,0.77,0.041,0.033,0.033,0.024,3.906,0.006,0.749,0.65,0.771,0.738,0.815,1e-06,original,11.0,5,,,,
mlp,random,0.717,0.71,0.713,0.72,0.172,0.17,0.168,0.169,6.784,0.838,0.768,0.635,0.746,0.706,0.836,5.8e-05,original,11.0,5,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.06,0.022,0.775,0.752,0.864,0.859,0.847,1.7e-05,original,0.002,5,,,,
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.118,0.26,0.5,0.134,0.042,0.155,0.851,1.7e-05,original,0.002,5,,,,
svc,k-means,0.55,0.394,0.371,0.51,0.1,0.171,0.187,0.128,5.141,0.001,0.519,0.501,0.787,0.845,0.15,5e-06,original,0.002,5,,,,
logreg,k-means,0.667,0.636,0.643,0.68,0.19,0.229,0.23,0.194,2.73,0.011,0.798,0.725,0.835,0.818,0.877,1e-06,original,0.002,5,,,,
mlp,k-means,0.433,0.38,0.395,0.45,0.122,0.141,0.14,0.118,6.356,0.368,0.757,0.738,0.857,0.852,0.865,5.8e-05,original,0.002,5,,,,
xgb,ag,0.867,0.853,0.853,0.86,0.113,0.122,0.122,0.116,4.544,0.043,0.814,0.796,0.89,0.887,0.865,2e-05,original,0.002,5,,,,
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.679,0.283,0.669,0.441,0.5,0.454,0.826,1.7e-05,original,0.002,5,,,,
svc,ag,0.6,0.54,0.54,0.59,0.244,0.273,0.274,0.242,6.605,0.002,0.801,0.76,0.865,0.856,0.868,4e-06,original,0.002,5,,,,
logreg,ag,0.717,0.63,0.619,0.69,0.194,0.277,0.292,0.215,4.762,0.01,0.777,0.704,0.82,0.8,0.85,0.0,original,0.002,5,,,,
mlp,ag,0.467,0.347,0.339,0.45,0.113,0.128,0.141,0.118,6.36,0.035,0.765,0.714,0.834,0.819,0.849,7.3e-05,original,0.002,5,,,,
xgb,k_center,0.817,0.806,0.81,0.82,0.097,0.1,0.099,0.093,4.113,0.035,0.815,0.796,0.89,0.886,0.809,1.1e-05,original,0.002,5,,,,
rf,k_center,0.583,0.573,0.58,0.59,0.242,0.256,0.256,0.242,15.28,0.32,0.562,0.32,0.338,0.321,0.803,2.1e-05,original,0.002,5,,,,
svc,k_center,0.5,0.394,0.371,0.46,0.274,0.305,0.315,0.278,3.749,0.002,0.5,0.135,0.043,0.156,0.434,5e-06,original,0.002,5,,,,
logreg,k_center,0.617,0.557,0.546,0.59,0.267,0.303,0.314,0.273,5.009,0.007,0.496,0.135,0.044,0.155,0.534,0.0,original,0.002,5,,,,
mlp,k_center,0.283,0.26,0.267,0.29,0.251,0.248,0.246,0.248,3.727,0.035,0.677,0.575,0.703,0.656,0.739,2.4e-05,original,0.002,5,,,,
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,5.109,0.719,0.491,0.14,0.055,0.158,0.491,1.7e-05,original,0.002,5,,,,
