model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,19.998,0.075,0.769,0.795,0.898,0.903,0.93,1.7e-05,,,,,,
rf,Full-data,0.853,0.787,0.877,0.866,0.01,0.007,0.005,0.006,77.57,3.062,0.862,0.796,0.882,0.872,0.921,4.3e-05,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,372.471,16.545,0.771,0.795,0.897,0.902,0.885,0.000259,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,8.519,6.449,0.702,0.746,0.88,0.894,0.902,1e-06,,,,,,
mlp,Full-data,0.757,0.778,0.889,0.893,0.006,0.007,0.004,0.004,83.663,72.819,0.754,0.767,0.881,0.884,0.911,4.1e-05,,,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.771,0.052,0.83,0.793,0.885,0.878,0.883,2e-06,10,0,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,16.868,0.388,0.801,0.7,0.809,0.783,0.871,2.4e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.823,0.002,0.71,0.648,0.785,0.759,0.794,4e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,5.071,0.005,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
mlp,random,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,5.093,0.053,0.765,0.706,0.826,0.809,0.845,7.1e-05,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.777,0.032,0.775,0.708,0.825,0.807,0.837,1.8e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0016803741455078125
rf,k-means,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,15.488,0.466,0.751,0.683,0.807,0.785,0.821,2.6e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0016803741455078125
svc,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.139,0.001,0.739,0.657,0.782,0.753,0.184,2e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0016803741455078125
logreg,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.837,0.004,0.773,0.687,0.804,0.779,0.841,1e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0016803741455078125
mlp,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.962,0.048,0.743,0.704,0.831,0.818,0.844,3.8e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0016803741455078125
xgb,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,4.16,0.066,0.804,0.803,0.896,0.896,0.866,1e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014581680297851562
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.188,0.365,0.774,0.702,0.819,0.799,0.846,2.2e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014581680297851562
svc,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,2.537,0.002,0.613,0.626,0.815,0.827,0.758,2e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014581680297851562
logreg,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.909,0.005,0.712,0.644,0.779,0.751,0.774,0.0,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014581680297851562
mlp,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,7.207,0.03,0.69,0.628,0.769,0.74,0.748,4.7e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014581680297851562
xgb,k_center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,7.46,0.132,0.717,0.563,0.668,0.616,0.838,1.7e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014538764953613281
rf,k_center,0.5,0.413,0.413,0.5,0.274,0.299,0.299,0.274,16.079,0.292,0.504,0.294,0.316,0.295,0.669,1.6e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014538764953613281
svc,k_center,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,6.259,0.002,0.5,0.135,0.043,0.156,0.615,4e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014538764953613281
logreg,k_center,0.55,0.507,0.507,0.55,0.245,0.271,0.271,0.245,6.865,0.006,0.472,0.162,0.099,0.172,0.388,1e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014538764953613281
mlp,k_center,0.4,0.347,0.347,0.4,0.339,0.344,0.344,0.339,4.815,0.028,0.571,0.44,0.539,0.477,0.583,8.1e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.0014538764953613281
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,3.685,0.036,0.5,0.134,0.042,0.155,0.532,1.5e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.001649618148803711
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,15.173,0.291,0.5,0.134,0.042,0.155,0.5,1.8e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.001649618148803711
svc,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,6.944,0.001,0.5,0.134,0.042,0.155,0.368,2e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.001649618148803711
logreg,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,6.794,0.006,0.5,0.134,0.042,0.155,0.733,0.0,10,0,451.6551523208618,0,7.453131935688207e-07,0.001649618148803711
mlp,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,7.655,0.018,0.607,0.404,0.462,0.416,0.667,3.5e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.001649618148803711
xgb,lc,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,14.275,0.107,0.303,0.331,0.527,0.451,0.241,1.7e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.002383708953857422
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.369,0.373,0.248,0.268,0.414,0.329,0.151,3.3e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.002383708953857422
svc,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.725,0.001,0.387,0.402,0.64,0.6,0.304,4e-06,10,0,451.6551523208618,0,7.453131935688207e-07,0.002383708953857422
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.19,0.005,0.377,0.387,0.59,0.528,0.36,0.0,10,0,451.6551523208618,0,7.453131935688207e-07,0.002383708953857422
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.92,0.021,0.391,0.402,0.618,0.566,0.361,4.7e-05,10,0,451.6551523208618,0,7.453131935688207e-07,0.002383708953857422
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.686,0.023,0.802,0.803,0.897,0.897,0.849,1.7e-05,10,1,,,,
rf,random,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,15.833,0.147,0.755,0.745,0.864,0.861,0.847,1.2e-05,10,1,,,,
svc,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.859,0.001,0.769,0.724,0.842,0.83,0.848,3e-06,10,1,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.882,0.009,0.779,0.743,0.856,0.847,0.861,0.0,10,1,,,,
mlp,random,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,7.652,0.045,0.771,0.702,0.82,0.8,0.841,7.3e-05,10,1,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.196,0.049,0.727,0.59,0.702,0.655,0.85,2e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.0013532638549804688
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,11.628,0.25,0.738,0.636,0.759,0.723,0.8,1.6e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0013532638549804688
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.781,0.002,0.736,0.594,0.705,0.658,0.5,4e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.0013532638549804688
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.822,0.008,0.806,0.749,0.854,0.842,0.878,0.0,10,1,861.0747501850128,0,5.929848412366518e-07,0.0013532638549804688
mlp,k-means,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,7.481,0.048,0.774,0.659,0.772,0.738,0.863,4.4e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0013532638549804688
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.197,0.033,0.603,0.465,0.567,0.506,0.739,5e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014107227325439453
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,13.923,0.252,0.696,0.584,0.707,0.66,0.791,1.6e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014107227325439453
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.366,0.001,0.748,0.686,0.811,0.791,0.782,4e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014107227325439453
logreg,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.925,0.008,0.748,0.67,0.795,0.769,0.776,0.0,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014107227325439453
mlp,ag,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,7.631,0.05,0.711,0.637,0.77,0.74,0.755,3.9e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014107227325439453
xgb,k_center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.522,0.052,0.814,0.726,0.832,0.812,0.846,1.7e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014600753784179688
rf,k_center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,15.464,0.249,0.708,0.576,0.69,0.641,0.785,1.8e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014600753784179688
svc,k_center,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,6.344,0.001,0.565,0.275,0.261,0.276,0.5,4e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014600753784179688
logreg,k_center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.896,0.003,0.571,0.315,0.326,0.315,0.581,0.0,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014600753784179688
mlp,k_center,0.4,0.38,0.38,0.4,0.122,0.147,0.147,0.122,7.653,0.05,0.605,0.459,0.555,0.495,0.63,6.2e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.0014600753784179688
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.355,0.028,0.5,0.458,0.774,0.845,0.5,1.9e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001333475112915039
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,14.473,0.241,0.5,0.458,0.774,0.845,0.59,1.5e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001333475112915039
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,2.626,0.002,0.5,0.458,0.774,0.845,0.516,1e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.001333475112915039
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.953,0.006,0.5,0.458,0.774,0.845,0.595,0.0,10,1,861.0747501850128,0,5.929848412366518e-07,0.001333475112915039
mlp,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,5.992,0.025,0.51,0.482,0.781,0.844,0.572,4.5e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001333475112915039
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.402,0.024,0.333,0.299,0.414,0.338,0.245,1.1e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001476287841796875
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.985,0.244,0.263,0.263,0.388,0.307,0.16,1.9e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001476287841796875
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.399,0.002,0.393,0.297,0.373,0.314,0.677,4e-06,10,1,861.0747501850128,0,5.929848412366518e-07,0.001476287841796875
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.814,0.005,0.341,0.309,0.429,0.353,0.328,0.0,10,1,861.0747501850128,0,5.929848412366518e-07,0.001476287841796875
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.297,0.043,0.366,0.326,0.448,0.372,0.349,4.8e-05,10,1,861.0747501850128,0,5.929848412366518e-07,0.001476287841796875
xgb,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.551,0.054,0.833,0.789,0.881,0.873,0.85,1.2e-05,10,2,,,,
rf,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,15.378,0.337,0.78,0.638,0.745,0.705,0.862,2.2e-05,10,2,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.219,0.001,0.792,0.739,0.849,0.836,0.866,4e-06,10,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.851,0.007,0.782,0.709,0.824,0.805,0.858,0.0,10,2,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.78,0.029,0.744,0.657,0.781,0.751,0.835,8.6e-05,10,2,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.2,0.017,0.8,0.802,0.897,0.897,0.877,1.5e-05,10,2,531.7780151367188,0,8.719670210720838e-07,0.0014786720275878906
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,15.898,0.248,0.729,0.677,0.809,0.791,0.82,1.8e-05,10,2,531.7780151367188,0,8.719670210720838e-07,0.0014786720275878906
svc,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.171,0.001,0.732,0.583,0.691,0.642,0.431,4e-06,10,2,531.7780151367188,0,8.719670210720838e-07,0.0014786720275878906
logreg,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,5.117,0.01,0.778,0.693,0.808,0.784,0.849,0.0,10,2,531.7780151367188,0,8.719670210720838e-07,0.0014786720275878906
mlp,k-means,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,7.216,0.028,0.763,0.652,0.768,0.733,0.841,3.5e-05,10,2,531.7780151367188,0,8.719670210720838e-07,0.0014786720275878906
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.976,0.036,0.615,0.472,0.572,0.512,0.806,1.7e-05,10,2,531.7780151367188,0,8.719670210720838e-07,0.0013608932495117188
