model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,20.37,0.074,0.769,0.795,0.898,0.903,0.93,8e-06,,,,,,
rf,Full-data,0.853,0.787,0.876,0.865,0.008,0.005,0.004,0.004,62.399,1.701,0.854,0.79,0.879,0.869,0.921,2.6e-05,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,379.457,16.761,0.771,0.795,0.897,0.902,0.884,0.000262,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,9.565,4.619,0.702,0.746,0.88,0.894,0.902,1e-06,,,,,,
mlp,Full-data,0.763,0.784,0.892,0.896,0.012,0.009,0.004,0.004,86.267,5.524,0.783,0.8,0.898,0.901,0.913,2.2e-05,,,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.557,3.939,0.83,0.793,0.885,0.878,0.883,6e-06,10,0,,,,
rf,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,13.094,0.302,0.784,0.718,0.832,0.815,0.861,1.9e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.293,0.001,0.71,0.648,0.785,0.759,0.794,2e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.489,0.007,0.775,0.724,0.84,0.826,0.851,3e-06,10,0,,,,
mlp,random,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,6.814,0.055,0.751,0.703,0.828,0.813,0.836,8.6e-05,10,0,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.402,0.019,0.813,0.8,0.893,0.891,0.887,4e-06,10,0,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.497,0.315,0.5,0.134,0.042,0.155,0.889,1.9e-05,10,0,,,,
