method,ipc,model,regret_mean,regret_std
k-means,10,xgb,0.20779785473719042,0.7706879123944629
k-means,10,rf,3.070530303344436,1.220789421803649
k-means,10,svc,23.28034222029354,46.17689052062921
k-means,10,logreg,-1.3788618716355063,6.000776007324134
k-means,10,mlp,0.20971391435646347,0.492685957486752
random,10,xgb,1.0,0.0
random,10,rf,1.0,0.0
random,10,svc,1.0,0.0
random,10,logreg,1.0,0.0
random,10,mlp,1.0,0.0
original,10,xgb,0.0,0.0
original,10,rf,0.0,0.0
original,10,svc,0.0,0.0
original,10,logreg,0.0,0.0
original,10,mlp,0.0,0.0
ag,10,xgb,-0.6303904523533171,1.9274635468748482
ag,10,rf,1.742638348945497,0.7822733098118977
ag,10,svc,22.335045766273815,50.368167487253054
ag,10,logreg,-0.6628474457366647,3.8928806632862574
ag,10,mlp,0.4765233894502634,0.5269718146483552
k_center,10,xgb,-1.1007358922603065,1.931730067160501
k_center,10,rf,3.0582176352482175,1.4549640664273875
k_center,10,svc,25.478764193773745,52.49914028329154
k_center,10,logreg,2.248948044023643,11.268837897369718
k_center,10,mlp,6.627177085711194,4.506937627224579
lc,10,xgb,-1.1571504533214856,7.433935206126237
lc,10,rf,4.555248317281316,1.785669093644776
lc,10,svc,40.336138030496876,81.33828035386236
lc,10,logreg,2.641551532081145,14.387293357261958
lc,10,mlp,14.800964424146528,9.178545501252128
craig,10,xgb,-1.5332241165111538,5.372689609716695
craig,10,rf,3.089326718697512,1.2086921710026135
craig,10,svc,25.36903480226835,52.28476315073294
craig,10,logreg,1.9338892544249362,11.073573639044389
craig,10,mlp,8.24719043105665,5.324033929330232
k-means,20,xgb,3.4936929804351897,8.814169888553886
k-means,20,rf,5.379509917298128,2.474430739720557
k-means,20,svc,-10.096228904900132,16.817975010408976
k-means,20,logreg,0.3496789992464212,1.3762822435104811
k-means,20,mlp,0.27714575010411824,1.0009289581920813
random,20,xgb,1.0,0.0
random,20,rf,1.0,0.0
random,20,svc,1.0,0.0
random,20,logreg,1.0,0.0
random,20,mlp,1.0,0.0
original,20,xgb,0.0,0.0
original,20,rf,0.0,0.0
original,20,svc,0.0,0.0
original,20,logreg,0.0,0.0
original,20,mlp,0.0,0.0
ag,20,xgb,0.08710900628753886,1.8647821274523886
ag,20,rf,2.1676186078387185,1.2279944191039949
ag,20,svc,-1.9525693713840049,10.641247034008641
ag,20,logreg,-1.171836267869243,1.0534474569693253
ag,20,mlp,4.0744164753475385,5.096604133299509
