model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,29.961,38.1,0.769,0.795,0.898,0.903,0.93,5.5e-05,original,,,,,,
rf,Full-data,0.85,0.786,0.876,0.865,0.008,0.006,0.005,0.006,175.312,5.319,0.856,0.792,0.88,0.869,0.922,5.4e-05,original,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,1341.84,70.61,0.771,0.795,0.897,0.902,0.885,0.000386,original,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,35.733,9.817,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,
mlp,Full-data,0.76,0.778,0.888,0.892,0.003,0.006,0.004,0.005,147.523,26.052,0.735,0.755,0.876,0.882,0.908,2.2e-05,original,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,22.008,18.727,0.755,0.679,0.802,0.778,0.824,4e-05,original,10,5,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,25.123,0.526,0.77,0.665,0.78,0.749,0.854,3.3e-05,original,10,5,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,8.177,0.002,0.761,0.626,0.736,0.694,0.497,3e-06,original,10,5,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,12.365,0.042,0.716,0.633,0.763,0.73,0.796,1e-06,original,10,5,,,,
mlp,random,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,13.367,0.022,0.74,0.596,0.706,0.659,0.834,6e-05,original,10,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.347,10.275,0.83,0.801,0.891,0.886,0.87,3.6e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
rf,k-means,0.75,0.74,0.74,0.75,0.316,0.332,0.332,0.316,26.85,0.464,0.736,0.702,0.832,0.821,0.835,2.3e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
svc,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,4.521,0.002,0.8,0.7,0.81,0.784,0.859,3e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
logreg,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.052,0.024,0.804,0.745,0.852,0.839,0.869,1e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
mlp,k-means,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,14.47,0.052,0.748,0.621,0.735,0.693,0.846,6e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,10.617,15.082,0.801,0.804,0.898,0.899,0.836,5.2e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
rf,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,19.94,0.353,0.819,0.797,0.889,0.886,0.896,2.3e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
svc,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,7.996,0.002,0.815,0.74,0.844,0.828,0.5,5e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
logreg,k-means,0.7,0.667,0.667,0.7,0.245,0.279,0.279,0.245,11.548,0.151,0.81,0.757,0.86,0.849,0.877,1e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
mlp,k-means,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,11.471,0.069,0.792,0.739,0.849,0.836,0.868,0.000114,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0024328231811523438
xgb,k-center,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,7.793,23.174,0.715,0.598,0.718,0.673,0.751,4.9e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
rf,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,23.165,0.48,0.502,0.24,0.224,0.241,0.723,2.4e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
svc,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,4.332,0.002,0.5,0.135,0.043,0.156,0.5,3e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
logreg,k-center,0.65,0.647,0.647,0.65,0.2,0.198,0.198,0.2,9.7,0.185,0.491,0.136,0.047,0.155,0.449,0.0,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
mlp,k-center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,7.794,1.975,0.6,0.495,0.618,0.558,0.627,0.0001,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
xgb,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.897,11.181,0.658,0.548,0.673,0.62,0.727,6.6e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
rf,k-center,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,24.297,0.35,0.569,0.394,0.461,0.41,0.744,1.9e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
svc,k-center,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,10.282,0.002,0.496,0.135,0.044,0.155,0.331,6e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
logreg,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,9.634,0.167,0.488,0.133,0.044,0.152,0.541,1e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
mlp,k-center,0.45,0.447,0.447,0.45,0.245,0.241,0.241,0.245,11.551,0.049,0.566,0.438,0.539,0.476,0.597,6e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0022735595703125
xgb,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.936,3.741,0.66,0.538,0.656,0.602,0.682,6.7e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
rf,ag,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,27.115,0.468,0.752,0.681,0.805,0.783,0.815,3.2e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.019,0.002,0.819,0.742,0.845,0.828,0.896,3e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.094,0.126,0.793,0.694,0.806,0.779,0.864,0.0,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
mlp,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,8.168,0.031,0.789,0.718,0.831,0.813,0.868,0.00012,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.619,3.748,0.716,0.641,0.774,0.744,0.777,4.6e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,23.974,0.37,0.815,0.76,0.861,0.85,0.873,1.9e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.83,0.002,0.823,0.798,0.89,0.886,0.903,4e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
logreg,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,11.356,0.153,0.814,0.75,0.854,0.84,0.891,1e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,14.196,3.609,0.761,0.708,0.829,0.813,0.844,5.7e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020601749420166016
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.896,9.859,0.315,0.27,0.367,0.297,0.243,6e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.182,0.333,0.314,0.155,0.147,0.155,0.166,1.8e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.524,0.002,0.283,0.119,0.095,0.121,0.146,2e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.302,0.138,0.284,0.112,0.082,0.114,0.15,7e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.88,0.038,0.263,0.127,0.118,0.127,0.175,0.000101,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.816,22.491,0.3,0.254,0.343,0.277,0.238,3.2e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,23.046,0.368,0.242,0.173,0.215,0.178,0.153,2.6e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.749,0.002,0.268,0.145,0.149,0.145,0.157,5e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.703,0.244,0.276,0.127,0.112,0.127,0.139,1e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.07,0.031,0.299,0.24,0.316,0.256,0.222,5.9e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.001936197280883789
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,8.082,8.945,0.5,0.134,0.042,0.155,0.5,6e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,23.117,0.191,0.5,0.458,0.774,0.845,0.5,1.1e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
svc,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,11.44,0.002,0.5,0.134,0.042,0.155,0.406,2e-06,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
logreg,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,13.609,0.127,0.5,0.134,0.042,0.155,0.485,0.0,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
mlp,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,13.579,2.047,0.523,0.255,0.241,0.255,0.631,9.6e-05,original,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,7.707,8.31,0.5,0.134,0.042,0.155,0.37,4e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,18.617,0.234,0.5,0.134,0.042,0.155,0.5,1.1e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
svc,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,12.765,0.002,0.5,0.134,0.042,0.155,0.398,3e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
logreg,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,12.376,0.212,0.5,0.134,0.042,0.155,0.525,1e-06,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
mlp,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,15.255,0.038,0.503,0.215,0.179,0.218,0.62,6.1e-05,latent,10,5,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.0020363330841064453
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,10.637,3.731,0.835,0.792,0.883,0.876,0.873,5.1e-05,original,10,6,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,28.799,0.578,0.783,0.7,0.815,0.792,0.852,5.8e-05,original,10,6,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,9.988,0.002,0.76,0.667,0.787,0.758,0.824,2e-06,original,10,6,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.972,0.12,0.779,0.691,0.807,0.782,0.845,0.0,original,10,6,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.786,0.043,0.743,0.639,0.76,0.724,0.814,4.9e-05,original,10,6,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.489,22.749,0.797,0.8,0.896,0.896,0.873,2.9e-05,original,10,6,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.002031564712524414
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,25.697,0.531,0.75,0.692,0.817,0.798,0.824,3e-05,original,10,6,1402.3032112121582,90.3063416481018,8.402552230407325e-07,0.002031564712524414
