model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,19.809,0.304,0.769,0.795,0.898,0.903,0.93,3e-06,original,,,,,,
rf,Full-data,0.852,0.783,0.873,0.862,0.008,0.005,0.004,0.004,73.448,3.3,0.86,0.787,0.875,0.864,0.919,4.8e-05,original,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,373.399,16.677,0.771,0.795,0.897,0.902,0.885,0.000257,original,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,8.429,4.05,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,
mlp,Full-data,0.77,0.787,0.892,0.895,0.009,0.009,0.005,0.004,90.879,6.464,0.777,0.797,0.897,0.901,0.917,3.9e-05,original,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,16.039,0.141,0.755,0.679,0.802,0.778,0.824,1.1e-05,original,10,5,,,,
rf,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,16.792,0.439,0.713,0.618,0.745,0.707,0.795,2.8e-05,original,10,5,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.278,0.002,0.761,0.626,0.736,0.694,0.496,3e-06,original,10,5,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.931,0.006,0.716,0.633,0.763,0.73,0.796,0.0,original,10,5,,,,
mlp,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,4.834,0.03,0.767,0.629,0.738,0.697,0.854,7.5e-05,original,10,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.826,0.045,0.809,0.805,0.898,0.897,0.893,7e-06,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0020847320556640625
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,14.796,0.319,0.734,0.696,0.826,0.813,0.829,1.9e-05,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0020847320556640625
svc,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.13,0.002,0.762,0.686,0.806,0.783,0.124,3e-06,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0020847320556640625
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.678,0.006,0.756,0.669,0.79,0.762,0.785,0.0,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0020847320556640625
mlp,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.281,0.028,0.756,0.685,0.808,0.786,0.806,4.5e-05,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0020847320556640625
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.253,0.031,0.812,0.797,0.891,0.888,0.882,7e-06,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0017085075378417969
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,14.291,0.291,0.758,0.699,0.822,0.804,0.831,1.4e-05,original,10,5,734.3188591003418,353.86450576782227,5.758398447400268e-07,0.0017085075378417969
